contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,490,490,0,true,490,32e63d9578e4ef4924683bab0c482106fb1cb035c3ecf44d147d70cc9a5b842c,b4b981723b8762b261b93628f2c70b9c78f5228a3d23ec1dd96a94e003ed737e,4ada6582a70490dfd3628502e3f2133351cac59e6f332e15ef0fc16a7cf3dc09,e434aa8db3b048cce4345dc2ccca6620349b4f44b6d35294210d7912b9f937b9,19f64ec143afcea4eeaa70b600853a2a02c1db6306a6dd08e18d2913be267e10,local,true
president/cand1,180,180,0,true,180,103bcff8c6ec3ffe8d2dc5ee573ae36ac4e919fb8fa20f8adf3f73de9d81a407,d4623b0047e9f67b19b4544d88669a4e345b8863f1244934e2224c476182d57b,4ada6582a70490dfd3628502e3f2133351cac59e6f332e15ef0fc16a7cf3dc09,e434aa8db3b048cce4345dc2ccca6620349b4f44b6d35294210d7912b9f937b9,19f64ec143afcea4eeaa70b600853a2a02c1db6306a6dd08e18d2913be267e10,local,true
president/cand2,170,170,0,true,170,d27e86a3fef5fc796e0c83aad1a9735d32590b980133ca68e7184fe74923f803,0ad3890e12c82f15962c84b768559b48304c4cb8852ad3c7fe9333fdc6a2f168,4ada6582a70490dfd3628502e3f2133351cac59e6f332e15ef0fc16a7cf3dc09,e434aa8db3b048cce4345dc2ccca6620349b4f44b6d35294210d7912b9f937b9,19f64ec143afcea4eeaa70b600853a2a02c1db6306a6dd08e18d2913be267e10,local,true
president/cand3,160,160,0,true,160,124f288e9cde61e6b965a69040d7c60405d94d494a0c5a35d65526cb980d9c01,d61316dc35c20990b1ec71c8f28fa0d4a964403218c8d4d513245ec578518465,4ada6582a70490dfd3628502e3f2133351cac59e6f332e15ef0fc16a7cf3dc09,e434aa8db3b048cce4345dc2ccca6620349b4f44b6d35294210d7912b9f937b9,19f64ec143afcea4eeaa70b600853a2a02c1db6306a6dd08e18d2913be267e10,local,true
vice-president/cand0,485,485,0,true,485,48517235507c48cdf95523001ffae318e7bf417d7b9fa63e860541ae644b8408,ac807f1bc677c252c69c91083b5ca024c70bdc5130ec0f640ad4e40308032c06,4ada6582a70490dfd3628502e3f2133351cac59e6f332e15ef0fc16a7cf3dc09,e434aa8db3b048cce4345dc2ccca6620349b4f44b6d35294210d7912b9f937b9,19f64ec143afcea4eeaa70b600853a2a02c1db6306a6dd08e18d2913be267e10,local,true
vice-president/cand1,186,186,0,true,186,0a0781a73bb33b7e92746b0526ad67c322949c15c5bcaedb00a053301cce0511,320746ad825e63049f634fe7d105f0f2574c2f9a447ecb1f5148b03a3d224a05,4ada6582a70490dfd3628502e3f2133351cac59e6f332e15ef0fc16a7cf3dc09,e434aa8db3b048cce4345dc2ccca6620349b4f44b6d35294210d7912b9f937b9,19f64ec143afcea4eeaa70b600853a2a02c1db6306a6dd08e18d2913be267e10,local,true
vice-president/cand2,172,172,0,true,172,3ca5fd0796c9ca60e486c53650239b521b0d8c8421893e8c467e240a3c089e6d,dc5c81a458c16d6cdf2ade048d732864c7a28edc967615b2fa8d90eb7f79a60b,4ada6582a70490dfd3628502e3f2133351cac59e6f332e15ef0fc16a7cf3dc09,e434aa8db3b048cce4345dc2ccca6620349b4f44b6d35294210d7912b9f937b9,19f64ec143afcea4eeaa70b600853a2a02c1db6306a6dd08e18d2913be267e10,local,true
vice-president/cand3,157,157,0,true,157,e8060fb2062748a78d93482e02081d4d0142f20e60dd93dadf854a14ab2a4870,de4afcb0310723271c4b46933fa8cc4d9acf7b856ede273d4e4d928fa93b284d,4ada6582a70490dfd3628502e3f2133351cac59e6f332e15ef0fc16a7cf3dc09,e434aa8db3b048cce4345dc2ccca6620349b4f44b6d35294210d7912b9f937b9,19f64ec143afcea4eeaa70b600853a2a02c1db6306a6dd08e18d2913be267e10,local,true
senator/cand0,480,480,0,true,480,8235ea86588938be8e1f9ac2251b0e6c8e6cd25d4e8f0bcfd6220d663f6fc33f,02d42b0bcd3e2afd82146eb2be6324f6980d1ea4b4b930a08a76e537658e0e29,4ada6582a70490dfd3628502e3f2133351cac59e6f332e15ef0fc16a7cf3dc09,e434aa8db3b048cce4345dc2ccca6620349b4f44b6d35294210d7912b9f937b9,19f64ec143afcea4eeaa70b600853a2a02c1db6306a6dd08e18d2913be267e10,local,true
senator/cand1,193,193,0,true,193,e2ead509ecf513e8eef93b4069eef84ff0a96e360eb3be3fa607530506f1b959,bc1f1d68031a32dbb3f811834a3d5cb12f4c588a131fc5e336f3540a7f099e71,4ada6582a70490dfd3628502e3f2133351cac59e6f332e15ef0fc16a7cf3dc09,e434aa8db3b048cce4345dc2ccca6620349b4f44b6d35294210d7912b9f937b9,19f64ec143afcea4eeaa70b600853a2a02c1db6306a6dd08e18d2913be267e10,local,true
