metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,1000,1000,1000,1000,1000,0,10,
positions,1,1,1,1,1,0,10,
candidates,4,4,4,4,4,0,10,
gen_wall_ms,183,184,187.9,213,213,8.711,10,
gen_cpu_ms,2418,2427,2479,2833,2833,122.206,10,
proof_gen_cpu_ms,1353,1363,1387.2,1571,1571,63.73,10,
proof_verify_inproc_ms,1358,1391,1429.1,1626,1626,78.309,10,
aggregate_inproc_ms,1,1,1,1,1,0,10,
combine_inproc_ms,0,0,0,0,0,0,10,
decrypt_inproc_ms,0,0,0,0,0,0,10,
submit_window_ms,1911,2027,2025.6,2099,2099,58.121,10,
committed,1000,1000,1000,1000,1000,0,10,
dropped,0,0,0,0,0,0,10,
committed_tps,476.328,490.468,493.974,523.136,523.136,14.35,10,
driver_ceiling_tps,494.467,507.263,510.753,529.735,529.735,11.767,10,
latency_min_ms,67.577,76.465,79.643,102.957,102.957,9.795,10,
latency_p50_ms,181.222,188.314,188.056,194.148,194.148,4.302,10,
latency_mean_ms,177.358,188.373,188.412,196.774,196.774,5.999,10,
latency_p95_ms,216.152,237.415,242.078,288.719,288.719,19.5,10,
latency_p99_ms,230.092,259.004,267.778,345.757,345.757,32.493,10,
latency_stddev_ms,23.157,27.365,28.767,40.436,40.436,4.614,10,
runs_measured,10,10,10,10,10,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
