metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,10000,10000,10000,10000,10000,0,10,
positions,3,3,3,3,3,0,10,
candidates,4,4,4,4,4,0,10,
gen_wall_ms,5039,5130,5382.9,6668,6668,489.466,10,
gen_cpu_ms,68217,69385,72647.4,88194,88194,5784.888,10,
proof_gen_cpu_ms,41974,42629,44599.3,54064,54064,3512.683,10,
proof_verify_inproc_ms,41738,42883,44309.6,49695,49695,2664.669,10,
aggregate_inproc_ms,42,43,44.9,56,56,4.061,10,
combine_inproc_ms,1,1,1,1,1,0,10,
decrypt_inproc_ms,8,9,9.4,14,14,1.562,10,
submit_window_ms,30962,33510,37947.3,56644,56644,8990.132,10,
committed,30000,30000,30000,30000,30000,0,10,
dropped,0,0,0,0,0,0,10,
committed_tps,529.618,859.82,826.936,968.916,968.916,155.134,10,
driver_ceiling_tps,794.982,866.965,868.004,905.63,905.63,38.23,10,
latency_min_ms,58.027,64.172,68.1,83.196,83.196,8.124,10,
latency_p50_ms,141.338,143.622,147.76,161.009,161.009,6.726,10,
latency_mean_ms,131.773,135.929,151.937,239.744,239.744,31.16,10,
latency_p95_ms,171.208,189.456,258.762,743.883,743.883,166.099,10,
latency_p99_ms,212.172,243.01,347.212,1005.01,1005.01,226.938,10,
latency_stddev_ms,29.218,34.447,57.648,206.698,206.698,50.944,10,
peak_cpu_pct_peer,384.9,391.06,391.98,403.74,403.74,5.47,10,
peak_cpu_pct_orderer,76.28,79.09,79.64,83.47,83.47,2.296,10,
peak_cpu_pct_client,82.65,85.747,85.784,87.998,87.998,1.68,10,
peak_mem_mb_peer,247.9,343.6,343.23,408.5,408.5,43.899,10,
peak_mem_mb_orderer,1304.576,2308.096,2463.334,3548.16,3548.16,739.947,10,
peak_mem_mb_client,50.211,50.211,50.211,50.211,50.211,0,10,
runs_measured,10,10,10,10,10,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
