contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,24500,24500,0,true,24500,92a32f162d78736a5c0a26d401b869b748d84108aba6e5bc0a6f0365637d444c,742dedbfd9f68ab1184c6139612a63be8a61fde1091c8c175aada2a52a3a9f74,400b095c2018b07b8f5f6f455ff5d47bdbbbb8dbb316de106803b5e29cefd7a7,723e42e9ef031936d682aeeee7290e3f878a3994e161d71f354906e559420534,b24beaa918bbeb75c67513a713f38496210cc34fb73d17c1594d91fcc2af8fc5,local,true
president/cand1,9000,9000,0,true,9000,94778c5ade051c2adf49ad73a144cc853319653eef4bca19d1f6403c4cce9e07,f895dde55e733f18cdc82f3d943a9d8f1c0e30ae4deebb16a31416920c1c8618,400b095c2018b07b8f5f6f455ff5d47bdbbbb8dbb316de106803b5e29cefd7a7,723e42e9ef031936d682aeeee7290e3f878a3994e161d71f354906e559420534,b24beaa918bbeb75c67513a713f38496210cc34fb73d17c1594d91fcc2af8fc5,local,true
president/cand2,8500,8500,0,true,8500,92c409575e0d93e2df2ccf9cfd11ef1459de4983ff8a73e4e6db65997b21812c,7aa4589af9de9274956357253fbceb62faa6fc6d8b3ea111ca1b3977ea89f67e,400b095c2018b07b8f5f6f455ff5d47bdbbbb8dbb316de106803b5e29cefd7a7,723e42e9ef031936d682aeeee7290e3f878a3994e161d71f354906e559420534,b24beaa918bbeb75c67513a713f38496210cc34fb73d17c1594d91fcc2af8fc5,local,true
president/cand3,8000,8000,0,true,8000,f859041ccf0441bb08e83a9614d38b1ec08460308004f7c81617055754792d0d,1e3fd337565f756022dc3c0a80f64a0bca246efce6ffed4f5f54dc1046716156,400b095c2018b07b8f5f6f455ff5d47bdbbbb8dbb316de106803b5e29cefd7a7,723e42e9ef031936d682aeeee7290e3f878a3994e161d71f354906e559420534,b24beaa918bbeb75c67513a713f38496210cc34fb73d17c1594d91fcc2af8fc5,local,true
vice-president/cand0,24250,24250,0,true,24250,c496053edad7af0aedaa1e48d0257703e90b83df14c220c7c0180ce396d3835c,e212d42cd483ff6cd8c18b74dcbba0ed2f38e483dbe77806997f2fddcf544f3a,400b095c2018b07b8f5f6f455ff5d47bdbbbb8dbb316de106803b5e29cefd7a7,723e42e9ef031936d682aeeee7290e3f878a3994e161d71f354906e559420534,b24beaa918bbeb75c67513a713f38496210cc34fb73d17c1594d91fcc2af8fc5,local,true
vice-president/cand1,9333,9333,0,true,9333,ead8ebf81d7486531a35e5c67c9eb956640d9578cf7eb3614f5f06d00fc15822,7631cb8aa4a0803a48ca80b9eeefafbb8a744774aa85a4def9079334fceab95e,400b095c2018b07b8f5f6f455ff5d47bdbbbb8dbb316de106803b5e29cefd7a7,723e42e9ef031936d682aeeee7290e3f878a3994e161d71f354906e559420534,b24beaa918bbeb75c67513a713f38496210cc34fb73d17c1594d91fcc2af8fc5,local,true
vice-president/cand2,8584,8584,0,true,8584,845e2504bfa01fc2a7060db81fbf0201d89a1f6fa822e0cb7b3a79a6e512996c,0c1d9e6ada4c970d88dc80a23ce1c96ad9ed56a9f8c3fb9390215b37efbfa554,400b095c2018b07b8f5f6f455ff5d47bdbbbb8dbb316de106803b5e29cefd7a7,723e42e9ef031936d682aeeee7290e3f878a3994e161d71f354906e559420534,b24beaa918bbeb75c67513a713f38496210cc34fb73d17c1594d91fcc2af8fc5,local,true
vice-president/cand3,7833,7833,0,true,7833,a084307ab44a569b76dcc989ce5c9021c0225e32c3762d3aec57e963c024cb33,2ceb48d7897092be0b634cdb58a162e4990d045c950897da33631a674e804e3d,400b095c2018b07b8f5f6f455ff5d47bdbbbb8dbb316de106803b5e29cefd7a7,723e42e9ef031936d682aeeee7290e3f878a3994e161d71f354906e559420534,b24beaa918bbeb75c67513a713f38496210cc34fb73d17c1594d91fcc2af8fc5,local,true
senator/cand0,24000,24000,0,true,24000,726b4a24c31734179a296a973dcdadff11dbf14fdfccdea6008c090fb6672440,f42dd821ca7d4a559a0f8a73867196c1d69e2a554635f5785dfa70a90b2caa69,400b095c2018b07b8f5f6f455ff5d47bdbbbb8dbb316de106803b5e29cefd7a7,723e42e9ef031936d682aeeee7290e3f878a3994e161d71f354906e559420534,b24beaa918bbeb75c67513a713f38496210cc34fb73d17c1594d91fcc2af8fc5,local,true
senator/cand1,9667,9667,0,true,9667,641a952a16566a705c87ea48a48e8b27ade1ade60631b70ba7e8787c216f632d,10af1685dc222357ddc4ef4107313ce08819ff67b145bd433f9825ec9487b70f,400b095c2018b07b8f5f6f455ff5d47bdbbbb8dbb316de106803b5e29cefd7a7,723e42e9ef031936d682aeeee7290e3f878a3994e161d71f354906e559420534,b24beaa918bbeb75c67513a713f38496210cc34fb73d17c1594d91fcc2af8fc5,local,true
