metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,10000,10000,10000,10000,10000,0,10,
positions,1,1,1,1,1,0,10,
candidates,4,4,4,4,4,0,10,
gen_wall_ms,1824,1999,2010.8,2225,2225,114.57,10,
gen_cpu_ms,25044,27625,27613.5,30537,30537,1510.282,10,
proof_gen_cpu_ms,14022,15317,15359.9,16948,16948,815.086,10,
proof_verify_inproc_ms,14203,14768,15343.3,18390,18390,1275.732,10,
aggregate_inproc_ms,14,15,16.4,22,22,2.458,10,
combine_inproc_ms,0,0,0,0,0,0,10,
decrypt_inproc_ms,3,3,4.3,14,14,3.288,10,
submit_window_ms,10986,12913,15708.3,33785,33785,6510.83,10,
committed,10000,10000,10000,10000,10000,0,10,
dropped,0,0,0,0,0,0,10,
committed_tps,295.984,758.826,708.062,910.198,910.198,182.835,10,
driver_ceiling_tps,340.041,816.034,761.686,894.613,894.613,152.74,10,
latency_min_ms,59.218,63.745,67.814,81.276,81.276,7.427,10,
latency_p50_ms,143.078,155.416,181.037,376.425,376.425,66.3,10,
latency_mean_ms,140.019,153.113,198.42,431.013,431.013,84.117,10,
latency_p95_ms,192.604,227.496,403.799,956.96,956.96,247.448,10,
latency_p99_ms,238.018,291.111,513.14,1131.699,1131.699,302.909,10,
latency_stddev_ms,33.517,39.853,93.357,249.385,249.385,71.059,10,
peak_cpu_pct_peer,321.08,367.21,364.695,383.75,383.75,19.623,10,
peak_cpu_pct_orderer,78.03,96.77,96.145,101.6,101.6,6.366,10,
peak_cpu_pct_client,67.115,85.957,82.433,88.722,88.722,6.302,10,
peak_mem_mb_peer,204.6,243.9,245.29,268.1,268.1,20.718,10,
peak_mem_mb_orderer,457.2,1005,1021.508,1598.464,1598.464,315.753,10,
peak_mem_mb_client,41.711,45.961,47.161,50.211,50.211,3.189,10,
runs_measured,10,10,10,10,10,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
