label,window_start,window_end,blocks,ballots,avg_per_block,max_per_block,gaps_ge_3s,max_gap_s,slow_fsync_count,slow_fsync_seconds,org1_commit_p50_ms,org1_commit_max_ms,org2_commit_p50_ms,org2_commit_max_ms
sp-1k-b50-20260911-172803-1,2026-09-11T17:28:03Z,2026-09-11T17:28:24Z,20,1000,50.0,50,0,1,0,0.000,30.0,38.0,22.0,30.0
sp-1k-b50-20260911-172821-2,2026-09-11T17:28:21Z,2026-09-11T17:28:42Z,20,1000,50.0,50,0,1,0,0.000,28.0,36.0,23.0,35.0
sp-1k-b50-20260911-172839-3,2026-09-11T17:28:39Z,2026-09-11T17:29:00Z,20,1000,50.0,50,0,1,0,0.000,29.0,69.0,24.0,37.0
sp-1k-b50-20260911-172857-4,2026-09-11T17:28:58Z,2026-09-11T17:29:19Z,20,1000,50.0,50,0,1,0,0.000,32.0,44.0,23.0,41.0
sp-1k-b50-20260911-172916-5,2026-09-11T17:29:16Z,2026-09-11T17:29:37Z,20,1000,50.0,50,0,1,0,0.000,30.0,63.0,24.0,60.0
sp-1k-b50-20260911-172935-6,2026-09-11T17:29:35Z,2026-09-11T17:29:56Z,20,1000,50.0,50,0,1,0,0.000,35.0,60.0,27.0,52.0
sp-1k-b50-20260911-172954-7,2026-09-11T17:29:54Z,2026-09-11T17:30:15Z,20,1000,50.0,50,0,1,0,0.000,31.0,47.0,25.0,39.0
sp-1k-b50-20260911-173012-8,2026-09-11T17:30:12Z,2026-09-11T17:30:33Z,20,1000,50.0,50,0,1,0,0.000,30.0,39.0,22.0,30.0
sp-1k-b50-20260911-173030-9,2026-09-11T17:30:30Z,2026-09-11T17:30:51Z,20,1000,50.0,50,0,1,0,0.000,29.0,48.0,21.0,34.0
sp-1k-b50-20260911-173049-10,2026-09-11T17:30:49Z,2026-09-11T17:31:09Z,20,1000,50.0,50,0,0,0,0.000,28.0,37.0,20.0,34.0
sp-1k-b50-20260911-173107-11,2026-09-11T17:31:07Z,2026-09-11T17:31:28Z,20,1000,50.0,50,0,1,0,0.000,27.0,36.0,22.0,27.0
sp-1k-b50-20260911-173125-12,2026-09-11T17:31:25Z,2026-09-11T17:31:46Z,20,1000,50.0,50,0,1,0,0.000,30.0,37.0,20.0,29.0
mp-1k-b50-20260911-173324-1,2026-09-11T17:33:25Z,2026-09-11T17:33:48Z,60,3000,50.0,50,0,1,0,0.000,34.0,56.0,24.0,58.0
mp-1k-b50-20260911-173358-2,2026-09-11T17:33:58Z,2026-09-11T17:34:21Z,60,3000,50.0,50,0,1,0,0.000,32.0,42.0,22.0,35.0
mp-1k-b50-20260911-173430-3,2026-09-11T17:34:30Z,2026-09-11T17:34:53Z,60,3000,50.0,50,0,1,0,0.000,31.0,44.0,22.0,47.0
mp-1k-b50-20260911-173502-4,2026-09-11T17:35:03Z,2026-09-11T17:35:26Z,60,3000,50.0,50,0,1,0,0.000,31.0,67.0,24.0,49.0
mp-1k-b50-20260911-173535-5,2026-09-11T17:35:35Z,2026-09-11T17:36:00Z,60,3000,50.0,50,0,1,0,0.000,38.0,161.0,29.0,248.0
mp-1k-b50-20260911-173609-6,2026-09-11T17:36:09Z,2026-09-11T17:36:32Z,60,3000,50.0,50,0,1,0,0.000,32.0,44.0,24.0,36.0
mp-1k-b50-20260911-173641-7,2026-09-11T17:36:41Z,2026-09-11T17:37:05Z,60,3000,50.0,50,0,1,0,0.000,31.0,58.0,23.0,45.0
mp-1k-b50-20260911-173713-8,2026-09-11T17:37:14Z,2026-09-11T17:37:37Z,60,3000,50.0,50,0,1,0,0.000,32.0,72.0,25.0,45.0
mp-1k-b50-20260911-173746-9,2026-09-11T17:37:46Z,2026-09-11T17:38:09Z,60,3000,50.0,50,0,1,0,0.000,30.0,42.0,24.0,32.0
mp-1k-b50-20260911-173818-10,2026-09-11T17:38:19Z,2026-09-11T17:38:42Z,60,3000,50.0,50,0,1,0,0.000,32.0,42.0,23.0,33.0
mp-1k-b50-20260911-173851-11,2026-09-11T17:38:51Z,2026-09-11T17:39:15Z,60,3000,50.0,50,0,1,0,0.000,35.0,105.0,27.0,60.0
mp-1k-b50-20260911-173925-12,2026-09-11T17:39:26Z,2026-09-11T17:39:49Z,60,3000,50.0,50,0,1,0,0.000,33.0,51.0,26.0,44.0
sp-10k-b50-20260911-174148-1,2026-09-11T17:41:50Z,2026-09-11T17:42:21Z,200,10000,50.0,50,0,1,0,0.000,34.0,75.0,25.0,42.0
sp-10k-b50-20260911-174252-2,2026-09-11T17:42:54Z,2026-09-11T17:43:26Z,200,10000,50.0,50,0,1,0,0.000,36.0,73.0,28.0,53.0
sp-10k-b50-20260911-174357-3,2026-09-11T17:43:59Z,2026-09-11T17:44:30Z,200,10000,50.0,50,0,1,0,0.000,34.0,83.0,25.0,59.0
sp-10k-b50-20260911-174501-4,2026-09-11T17:45:03Z,2026-09-11T17:45:35Z,200,10000,50.0,50,0,1,0,0.000,36.0,99.0,26.0,49.0
sp-10k-b50-20260911-174608-5,2026-09-11T17:46:10Z,2026-09-11T17:46:42Z,200,10000,50.0,50,0,1,0,0.000,37.0,99.0,28.0,63.0
sp-10k-b50-20260911-174713-6,2026-09-11T17:47:16Z,2026-09-11T17:48:10Z,200,10000,50.0,50,0,1,0,0.000,94.0,426.0,89.0,420.0
sp-10k-b50-20260911-174846-7,2026-09-11T17:48:50Z,2026-09-11T17:49:23Z,200,10000,50.0,50,0,1,0,0.000,37.0,74.0,28.0,62.0
sp-10k-b50-20260911-174954-8,2026-09-11T17:50:01Z,2026-09-11T17:50:33Z,200,10000,50.0,50,0,1,0,0.000,35.0,128.0,24.0,123.0
