contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,490,490,0,true,490,32e63d9578e4ef4924683bab0c482106fb1cb035c3ecf44d147d70cc9a5b842c,96d2704a8c2a0dfaebe8f019ba1782a0d6c69fee7cebf78edc32185a1f8aa271,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,03c0d75551cbe33fa442739d88294d9db07380fdf43a2d036c51a65ac713cc58,local,true
president/cand1,180,180,0,true,180,103bcff8c6ec3ffe8d2dc5ee573ae36ac4e919fb8fa20f8adf3f73de9d81a407,eec0aeb8e6d7683190a3453c8d75258e8d352f510594a126bd62ac164e1b1735,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,03c0d75551cbe33fa442739d88294d9db07380fdf43a2d036c51a65ac713cc58,local,true
president/cand2,170,170,0,true,170,d27e86a3fef5fc796e0c83aad1a9735d32590b980133ca68e7184fe74923f803,12bb70e89d1e6d29778b08c659a52c61f52711cb4bac330f8185a18d5f414a20,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,03c0d75551cbe33fa442739d88294d9db07380fdf43a2d036c51a65ac713cc58,local,true
president/cand3,160,160,0,true,160,124f288e9cde61e6b965a69040d7c60405d94d494a0c5a35d65526cb980d9c01,1c18824b27ae61dd2f6a971f235f0c080a94e90cd3c38430d1025db19ad40950,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,03c0d75551cbe33fa442739d88294d9db07380fdf43a2d036c51a65ac713cc58,local,true
vice-president/cand0,485,485,0,true,485,48517235507c48cdf95523001ffae318e7bf417d7b9fa63e860541ae644b8408,00993f2e8b0d74d3cb815fa8f666df07add99bb192b9336b3a7ebbea4a9f5c63,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,03c0d75551cbe33fa442739d88294d9db07380fdf43a2d036c51a65ac713cc58,local,true
vice-president/cand1,186,186,0,true,186,0a0781a73bb33b7e92746b0526ad67c322949c15c5bcaedb00a053301cce0511,96ff6b934b7a8dc699dad26af30d2eb60e3b6551708087e8f8f857ca6767bd0c,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,03c0d75551cbe33fa442739d88294d9db07380fdf43a2d036c51a65ac713cc58,local,true
vice-president/cand2,172,172,0,true,172,3ca5fd0796c9ca60e486c53650239b521b0d8c8421893e8c467e240a3c089e6d,b29fe0f78676d03a795e571a5908e06c4d4780d8f36ff795d375e47695ad283f,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,03c0d75551cbe33fa442739d88294d9db07380fdf43a2d036c51a65ac713cc58,local,true
vice-president/cand3,157,157,0,true,157,e8060fb2062748a78d93482e02081d4d0142f20e60dd93dadf854a14ab2a4870,72444347655605c353e58e8248054ec995d1b9fde6bb246cd27148428b83f074,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,03c0d75551cbe33fa442739d88294d9db07380fdf43a2d036c51a65ac713cc58,local,true
senator/cand0,480,480,0,true,480,8235ea86588938be8e1f9ac2251b0e6c8e6cd25d4e8f0bcfd6220d663f6fc33f,18ce1d95e9bb538092cf7eb47561baedf58f4908eb626e72e8d3d41c0e750e6c,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,03c0d75551cbe33fa442739d88294d9db07380fdf43a2d036c51a65ac713cc58,local,true
senator/cand1,193,193,0,true,193,e2ead509ecf513e8eef93b4069eef84ff0a96e360eb3be3fa607530506f1b959,2cd11845de4a54e8b9c63793809e3b5c7a4f2a295bd5b4d831ffc33dbafe2f17,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,03c0d75551cbe33fa442739d88294d9db07380fdf43a2d036c51a65ac713cc58,local,true
senator/cand2,173,173,0,true,173,3624296b546f2f84a7bc8d1c9fe6d465e267daa27f72128eb6cc1c4abb794337,c051f1080c7dbeadfc5f824a4243ce5bf14df097f3d512351801a773f8838837,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,03c0d75551cbe33fa442739d88294d9db07380fdf43a2d036c51a65ac713cc58,local,true
senator/cand3,154,154,0,true,154,4ce38534389c49a395d768f0bb0237f573531e2f04dd9b1d07e8569fc34a0073,303d3e8778c988871d584ac9b95b314f5746f5dd03d1700daff43c50c9a1a77f,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,03c0d75551cbe33fa442739d88294d9db07380fdf43a2d036c51a65ac713cc58,local,true
president/cand0,490,490,0,true,490,32e63d9578e4ef4924683bab0c482106fb1cb035c3ecf44d147d70cc9a5b842c,96d2704a8c2a0dfaebe8f019ba1782a0d6c69fee7cebf78edc32185a1f8aa271,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,d79bb342753976218fddb7c8807f1b92c65b0340d73ac2ff97bad36ca4dd896b,ledger,true
president/cand1,180,180,0,true,180,103bcff8c6ec3ffe8d2dc5ee573ae36ac4e919fb8fa20f8adf3f73de9d81a407,eec0aeb8e6d7683190a3453c8d75258e8d352f510594a126bd62ac164e1b1735,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,d79bb342753976218fddb7c8807f1b92c65b0340d73ac2ff97bad36ca4dd896b,ledger,true
president/cand2,170,170,0,true,170,d27e86a3fef5fc796e0c83aad1a9735d32590b980133ca68e7184fe74923f803,12bb70e89d1e6d29778b08c659a52c61f52711cb4bac330f8185a18d5f414a20,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,d79bb342753976218fddb7c8807f1b92c65b0340d73ac2ff97bad36ca4dd896b,ledger,true
president/cand3,160,160,0,true,160,124f288e9cde61e6b965a69040d7c60405d94d494a0c5a35d65526cb980d9c01,1c18824b27ae61dd2f6a971f235f0c080a94e90cd3c38430d1025db19ad40950,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,d79bb342753976218fddb7c8807f1b92c65b0340d73ac2ff97bad36ca4dd896b,ledger,true
vice-president/cand0,485,485,0,true,485,48517235507c48cdf95523001ffae318e7bf417d7b9fa63e860541ae644b8408,00993f2e8b0d74d3cb815fa8f666df07add99bb192b9336b3a7ebbea4a9f5c63,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,d79bb342753976218fddb7c8807f1b92c65b0340d73ac2ff97bad36ca4dd896b,ledger,true
vice-president/cand1,186,186,0,true,186,0a0781a73bb33b7e92746b0526ad67c322949c15c5bcaedb00a053301cce0511,96ff6b934b7a8dc699dad26af30d2eb60e3b6551708087e8f8f857ca6767bd0c,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,d79bb342753976218fddb7c8807f1b92c65b0340d73ac2ff97bad36ca4dd896b,ledger,true
vice-president/cand2,172,172,0,true,172,3ca5fd0796c9ca60e486c53650239b521b0d8c8421893e8c467e240a3c089e6d,b29fe0f78676d03a795e571a5908e06c4d4780d8f36ff795d375e47695ad283f,5886962d47b3c7d5e1159de6a9101947a446060c7eef5b4cb2bafab1dda1cb5c,e00fb1e16f0a41cc6e73792bbcf0e64ae3a03f341f23fbd3762b574ce11a744d,d79bb342753976218fddb7c8807f1b92c65b0340d73ac2ff97bad36ca4dd896b,ledger,true
