metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,50000,50000,50000,50000,50000,0,5,
positions,3,3,3,3,3,0,5,
candidates,4,4,4,4,4,0,5,
gen_wall_ms,26215,26371,26903,29238,29238,1168.937,5,
gen_cpu_ms,358516,361065,361394.4,364219,364219,1894.669,5,
proof_gen_cpu_ms,223880,225508,225799.2,227640,227640,1292.283,5,
proof_verify_inproc_ms,23456,23635,23654.2,23982,23982,178.845,5,
aggregate_inproc_ms,223,228,226.6,229,229,2.577,5,
combine_inproc_ms,1,1,1,1,1,0,5,
decrypt_inproc_ms,20,22,21.6,24,24,1.497,5,
submit_window_ms,180965,189151,190364.6,199114,199114,6027.952,5,
committed,150000,150000,150000,150000,150000,0,5,
dropped,0,0,0,0,0,0,5,
committed_tps,753.335,793.015,788.753,828.886,828.886,25.106,5,
driver_ceiling_tps,825.129,830.397,838.811,861.817,861.817,13.71,5,
latency_min_ms,54.247,57.041,59.39,65.085,65.085,4.557,5,
latency_p50_ms,148.523,154.143,152.637,155.127,155.127,2.468,5,
latency_mean_ms,148.403,160.469,157.263,161.952,161.952,5.113,5,
latency_p95_ms,225.804,260.894,258.145,273.338,273.338,17.223,5,
latency_p99_ms,281.45,337.146,325.064,362.399,362.399,28.303,5,
latency_stddev_ms,45.229,56.283,54.05,60.578,60.578,5.455,5,
peak_cpu_pct_peer,395.55,402.71,406.272,418.17,418.17,8.44,5,
peak_cpu_pct_orderer,91.73,95.12,95.55,98.68,98.68,2.509,5,
peak_cpu_pct_client,75.19,80.147,79.205,80.865,80.865,2.063,5,
peak_mem_mb_peer,372.2,1049.6,1251.008,2370.56,2370.56,703.948,5,
peak_mem_mb_orderer,3983.36,5428.224,5036.237,5617.664,5617.664,644.451,5,
peak_mem_mb_client,79.965,80.152,80.115,80.152,80.152,0.075,5,
verify_threads,16,16,16,16,16,0,5,
runs_measured,5,5,5,5,5,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
