metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,1000,1000,1000,1000,1000,0,10,
positions,1,1,1,1,1,0,10,
candidates,4,4,4,4,4,0,10,
gen_wall_ms,187,190,192.2,205,205,5.231,10,
gen_cpu_ms,2474,2510,2538.9,2717,2717,71.905,10,
proof_gen_cpu_ms,1394,1421,1437.5,1539,1539,44.03,10,
proof_verify_inproc_ms,153,154,160.6,188,188,11.926,10,
aggregate_inproc_ms,1,1,1,1,1,0,10,
combine_inproc_ms,0,0,0,0,0,0,10,
decrypt_inproc_ms,0,0,0,0,0,0,10,
submit_window_ms,963,987,1008.3,1177,1177,60.381,10,
committed,1000,1000,1000,1000,1000,0,10,
dropped,0,0,0,0,0,0,10,
committed_tps,849.028,1004.088,994.329,1038.015,1038.015,53.135,10,
driver_ceiling_tps,859.987,960.784,953.753,1019.515,1019.515,44.132,10,
latency_min_ms,57.911,59.729,61.444,66.982,66.982,2.97,10,
latency_p50_ms,125.549,133.006,134.502,148.839,148.839,6.41,10,
latency_mean_ms,120.513,123.414,126.06,147.691,147.691,7.69,10,
latency_p95_ms,155.13,157.505,165.533,215.359,215.359,17.109,10,
latency_p99_ms,204.682,206.519,213.047,236.293,236.293,10.012,10,
latency_stddev_ms,28.138,29.504,30.512,40.936,40.936,3.578,10,
verify_threads,16,16,16,16,16,0,10,
runs_measured,10,10,10,10,10,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
