label,window_start,window_end,blocks,ballots,avg_per_block,max_per_block,gaps_ge_3s,max_gap_s,slow_fsync_count,slow_fsync_seconds,org1_commit_p50_ms,org1_commit_max_ms,org2_commit_p50_ms,org2_commit_max_ms
sp-1k-par-20260911-232011-1,2026-09-11T23:20:11Z,2026-09-11T23:20:32Z,20,1000,50.0,50,0,1,0,0.000,24.0,35.0,20.0,27.0
sp-1k-par-20260911-232027-2,2026-09-11T23:20:27Z,2026-09-11T23:20:48Z,20,1000,50.0,50,0,1,0,0.000,31.0,51.0,21.0,38.0
sp-1k-par-20260911-232043-3,2026-09-11T23:20:43Z,2026-09-11T23:21:04Z,20,1000,50.0,50,0,1,0,0.000,29.0,37.0,21.0,27.0
sp-1k-par-20260911-232059-4,2026-09-11T23:20:59Z,2026-09-11T23:21:20Z,20,1000,50.0,50,0,1,0,0.000,29.0,43.0,21.0,28.0
sp-1k-par-20260911-232115-5,2026-09-11T23:21:15Z,2026-09-11T23:21:35Z,20,1000,50.0,50,0,0,0,0.000,28.0,34.0,20.0,27.0
sp-1k-par-20260911-232130-6,2026-09-11T23:21:30Z,2026-09-11T23:21:51Z,20,1000,50.0,50,0,1,0,0.000,27.0,36.0,21.0,26.0
sp-1k-par-20260911-232146-7,2026-09-11T23:21:46Z,2026-09-11T23:22:07Z,20,1000,50.0,50,0,1,0,0.000,28.0,40.0,22.0,32.0
sp-1k-par-20260911-232201-8,2026-09-11T23:22:01Z,2026-09-11T23:22:22Z,20,1000,50.0,50,0,1,0,0.000,27.0,44.0,22.0,31.0
sp-1k-par-20260911-232217-9,2026-09-11T23:22:17Z,2026-09-11T23:22:38Z,20,1000,50.0,50,0,1,0,0.000,32.0,57.0,22.0,46.0
sp-1k-par-20260911-232233-10,2026-09-11T23:22:33Z,2026-09-11T23:22:54Z,20,1000,50.0,50,0,1,0,0.000,29.0,43.0,21.0,30.0
sp-1k-par-20260911-232249-11,2026-09-11T23:22:49Z,2026-09-11T23:23:10Z,20,1000,50.0,50,0,1,0,0.000,25.0,35.0,21.0,33.0
sp-1k-par-20260911-232304-12,2026-09-11T23:23:04Z,2026-09-11T23:23:25Z,20,1000,50.0,50,0,1,0,0.000,28.0,37.0,22.0,36.0
